SKU Vendido;Produtos;Qtd Vendida;Preco Unitario;Faturamento;Loja;Data da Venda;Codigo Cliente
HL1001;Smart TV 50' 4K;5;10000;18500;Goiânia;01/01/2020;377
HL1001;Smart TV 50' 4K;4;3700;14800;Curitiba;01/02/2020;797
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;01/02/2020;266
HL1001;Smart TV 50' 4K;4;3700;14800;Recife;01/03/2020;314
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;01/03/2020;89
HL1001;Smart TV 50' 4K;5;3700;18500;Porto Alegre;01/04/2020;319
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;01/04/2020;3
HL1001;Smart TV 50' 4K;4;3700;14800;Fortaleza;01/04/2020;790
HL1001;Smart TV 50' 4K;5;3700;18500;Recife;01/04/2020;105
HL1001;Smart TV 50' 4K;3;3700;11100;Fortaleza;01/04/2020;160
HL1001;Smart TV 50' 4K;5;3700;18500;Porto Alegre;01/05/2020;650
HL1001;Smart TV 50' 4K;1;3700;3700;Goiânia;01/05/2020;646
HL1001;Smart TV 50' 4K;4;3700;14800;Belo Horizonte;01/05/2020;103
HL1001;Smart TV 50' 4K;3;3700;11100;Rio de Janeiro;01/06/2020;213
HL1001;Smart TV 50' 4K;5;3700;18500;Fortaleza;01/06/2020;317
HL1001;Smart TV 50' 4K;5;3700;18500;Rio de Janeiro;01/06/2020;300
HL1001;Smart TV 50' 4K;4;3700;14800;Nova Iguaçu;01/06/2020;698
HL1001;Smart TV 50' 4K;3;3700;11100;Recife;01/07/2020;170
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;01/07/2020;87
HL1001;Smart TV 50' 4K;5;3700;18500;Recife;01/08/2020;202
HL1001;Smart TV 50' 4K;1;3700;3700;Fortaleza;01/08/2020;668
HL1001;Smart TV 50' 4K;1;3700;3700;Goiânia;01/09/2020;650
HL1001;Smart TV 50' 4K;3;3700;11100;Salvador;01/09/2020;446
HL1001;Smart TV 50' 4K;4;3700;14800;Curitiba;01/09/2020;192
HL1001;Smart TV 50' 4K;2;3700;7400;Curitiba;01/09/2020;765
HL1001;Smart TV 50' 4K;2;3700;7400;Salvador;01/09/2020;519
HL1001;Smart TV 50' 4K;1;3700;3700;Curitiba;01/09/2020;374
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;01/10/2020;431
HL1001;Smart TV 50' 4K;1;3700;3700;Rio de Janeiro;01/10/2020;69
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;01/11/2020;377
HL1001;Smart TV 50' 4K;3;3700;11100;Recife;01/11/2020;209
HL1001;Smart TV 50' 4K;2;3700;7400;Rio de Janeiro;01/11/2020;110
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;01/11/2020;337
HL1001;Smart TV 50' 4K;5;3700;18500;Recife;01/11/2020;361
HL1001;Smart TV 50' 4K;2;3700;7400;São Paulo;01/11/2020;92
HL1001;Smart TV 50' 4K;4;3700;14800;Fortaleza;01/11/2020;170
HL1001;Smart TV 50' 4K;4;3700;14800;Porto Alegre;01/12/2020;186
HL1001;Smart TV 50' 4K;2;3700;7400;Salvador;01/12/2020;349
HL1001;Smart TV 50' 4K;4;3700;14800;Curitiba;1/13/2020;277
HL1001;Smart TV 50' 4K;3;3700;11100;Fortaleza;1/13/2020;700
HL1001;Smart TV 50' 4K;3;3700;11100;Salvador;1/14/2020;216
HL1001;Smart TV 50' 4K;3;3700;11100;Rio de Janeiro;1/14/2020;820
HL1001;Smart TV 50' 4K;4;3700;14800;Salvador;1/14/2020;261
HL1001;Smart TV 50' 4K;1;3700;3700;Guarulhos;1/14/2020;104
HL1001;Smart TV 50' 4K;5;3700;18500;Fortaleza;1/14/2020;446
HL1001;Smart TV 50' 4K;1;3700;3700;Fortaleza;1/14/2020;427
HL1001;Smart TV 50' 4K;1;3700;3700;Curitiba;1/15/2020;550
HL1001;Smart TV 50' 4K;5;3700;18500;Curitiba;1/15/2020;553
HL1001;Smart TV 50' 4K;2;3700;7400;Salvador;1/16/2020;101
HL1001;Smart TV 50' 4K;2;3700;7400;Salvador;1/16/2020;441
HL1001;Smart TV 50' 4K;5;3700;18500;Recife;1/17/2020;312
HL1001;Smart TV 50' 4K;4;3700;14800;Recife;1/17/2020;609
HL1001;Smart TV 50' 4K;4;3700;14800;Salvador;1/17/2020;429
HL1001;Smart TV 50' 4K;5;3700;18500;Campinas;1/17/2020;541
HL1001;Smart TV 50' 4K;5;3700;18500;Recife;1/17/2020;22
HL1001;Smart TV 50' 4K;2;3700;7400;Fortaleza;1/19/2020;27
HL1001;Smart TV 50' 4K;2;3700;7400;São Paulo;1/19/2020;243
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;1/19/2020;694
HL1001;Smart TV 50' 4K;5;3700;18500;Salvador;1/19/2020;389
HL1001;Smart TV 50' 4K;2;3700;7400;Campinas;1/20/2020;259
HL1001;Smart TV 50' 4K;1;3700;3700;Rio de Janeiro;1/21/2020;719
HL1001;Smart TV 50' 4K;1;3700;3700;Belo Horizonte;1/21/2020;190
